Day,Pig,CFUpermL
D1,132,255000
D1,133,0
D1,134,200000
D1,135,535000
D1,136,2476666.667
D1,137,7633333.333
D1,138,470000
D1,139,630000
D1,140,576666.6667
D1,141,155000
D3,132,48333333.33
D3,133,15400000
D3,134,1210000
D3,135,8600000
D3,136,5400000
D3,137,1420000
D3,138,7200000
D3,139,48666666.67
D3,140,14633333.33
D3,141,0
D7,132,121333333.3
D7,133134,1250000
D7,135,15633333.33
D7,136,15133333.33
D7,137,173333.3333
D7,138,6566666.667
D7,139,7033333.333
D7,140,16900000
D7,141,16700000
D10,132,1160000
D10,133,2060000
D10,134,336666.6667
D10,135,9033333.333
D10,136,433333.3333
D10,137,1763333.333
D10,138,863333.3333
D10,139,7200000
D10,140,906666.6667
D10,141,676666.6667
D14,132,2013333.333
D14,133,636666.6667
D14,134,33333.33333
D14,135,190000
D14,136,1793333.333
D14,137,96666.66667
D14,138,1373333.333
D14,139,453333.3333
D14,140,686666.6667
D14,141,153333.3333
D21,132,110000
D21,133,50000
D21,134,40000
D21,135,270000
D21,136,150000
D21,137,70000
D21,138,390000
D21,139,120000
D21,140,290000
D21,141,30000
D28,132,743333.3333
D28,133,101333.3333
D28,134,85333.33333
D28,135,793333.3333
D28,136,65666.66667
D28,137,28066.66667
D28,138,166666.6667
D28,139,23800
D28,140,21666.66667
D28,141,3766.666667
D36,132,533333.3333
D36,133,33500
D36,134,90500
D36,135,20500
D36,136,18500
D36,137,106666.6667
D36,138,486666.6667
D36,139,3500
D36,140,45500
D36,141,10500
D42,132,109000
D42,133,20000
D42,134,17833.33333
D42,135,16833.33333
D42,136,77333.33333
D42,137,87333.33333
D42,138,154000
D42,139,3000
D42,140,7200
D42,141,13000
