OTU,SRD129_P132_N_D0,SRD129_P132_N_D10,SRD129_P132_N_D14,SRD129_P132_N_D21,SRD129_P132_N_D28,SRD129_P132_N_D3,SRD129_P132_N_D36,SRD129_P132_N_D42,SRD129_P132_N_D7,SRD129_P133_N_D0,SRD129_P133_N_D1,SRD129_P133_N_D10,SRD129_P133_N_D14,SRD129_P133_N_D21,SRD129_P133_N_D28,SRD129_P133_N_D3,SRD129_P133_N_D36,SRD129_P133_N_D42,SRD129_P134_N_D0,SRD129_P134_N_D1,SRD129_P134_N_D10,SRD129_P134_N_D14,SRD129_P134_N_D21,SRD129_P134_N_D28,SRD129_P134_N_D3,SRD129_P134_N_D36,SRD129_P134_N_D42,SRD129_P135_N_D0,SRD129_P135_N_D1,SRD129_P135_N_D10,SRD129_P135_N_D14,SRD129_P135_N_D21,SRD129_P135_N_D28,SRD129_P135_N_D3,SRD129_P135_N_D36,SRD129_P135_N_D42,SRD129_P135_N_D7,SRD129_P136_N_D0,SRD129_P136_N_D1,SRD129_P136_N_D10,SRD129_P136_N_D14,SRD129_P136_N_D21,SRD129_P136_N_D28,SRD129_P136_N_D3,SRD129_P136_N_D36,SRD129_P136_N_D42,SRD129_P136_N_D7,SRD129_P137_N_D0,SRD129_P137_N_D1,SRD129_P137_N_D10,SRD129_P137_N_D14,SRD129_P137_N_D21,SRD129_P137_N_D28,SRD129_P137_N_D3,SRD129_P137_N_D36,SRD129_P137_N_D42,SRD129_P137_N_D7,SRD129_P138_N_D0,SRD129_P138_N_D1,SRD129_P138_N_D10,SRD129_P138_N_D14,SRD129_P138_N_D21,SRD129_P138_N_D28,SRD129_P138_N_D36,SRD129_P138_N_D42,SRD129_P138_N_D7,SRD129_P139_N_D0,SRD129_P139_N_D1,SRD129_P139_N_D10,SRD129_P139_N_D14,SRD129_P139_N_D21,SRD129_P139_N_D28,SRD129_P139_N_D3,SRD129_P139_N_D36,SRD129_P139_N_D42,SRD129_P139_N_D7,SRD129_P140_N_D0,SRD129_P140_N_D1,SRD129_P140_N_D10,SRD129_P140_N_D14,SRD129_P140_N_D21,SRD129_P140_N_D28,SRD129_P140_N_D3,SRD129_P140_N_D36,SRD129_P140_N_D42,SRD129_P140_N_D7,SRD129_P141_N_D0,SRD129_P141_N_D1,SRD129_P141_N_D10,SRD129_P141_N_D14,SRD129_P141_N_D21,SRD129_P141_N_D28,SRD129_P141_N_D3,SRD129_P141_N_D36,SRD129_P141_N_D42,SRD129_P141_N_D7,SRD129_P162_N_D0,SRD129_P162_N_D1,SRD129_P162_N_D10,SRD129_P162_N_D14,SRD129_P162_N_D21,SRD129_P162_N_D28,SRD129_P162_N_D3,SRD129_P162_N_D36,SRD129_P162_N_D42,SRD129_P162_N_D7,SRD129_P163_N_D0,SRD129_P163_N_D1,SRD129_P163_N_D10,SRD129_P163_N_D14,SRD129_P163_N_D21,SRD129_P163_N_D28,SRD129_P163_N_D3,SRD129_P163_N_D36,SRD129_P163_N_D42,SRD129_P163_N_D7,SRD129_P164_N_D0,SRD129_P164_N_D1,SRD129_P164_N_D10,SRD129_P164_N_D14,SRD129_P164_N_D21,SRD129_P164_N_D28,SRD129_P164_N_D3,SRD129_P164_N_D36,SRD129_P164_N_D42,SRD129_P164_N_D7,SRD129_P165_N_D0,SRD129_P165_N_D1,SRD129_P165_N_D10,SRD129_P165_N_D14,SRD129_P165_N_D21,SRD129_P165_N_D28,SRD129_P165_N_D3,SRD129_P165_N_D36,SRD129_P165_N_D42,SRD129_P165_N_D7,SRD129_P166_N_D0,SRD129_P166_N_D1,SRD129_P166_N_D10,SRD129_P166_N_D14,SRD129_P166_N_D21,SRD129_P166_N_D28,SRD129_P166_N_D3,SRD129_P166_N_D36,SRD129_P166_N_D42,SRD129_P166_N_D7,SRD129_P167_N_D0,SRD129_P167_N_D1,SRD129_P167_N_D10,SRD129_P167_N_D14,SRD129_P167_N_D21,SRD129_P167_N_D28,SRD129_P167_N_D3,SRD129_P167_N_D36,SRD129_P167_N_D42,SRD129_P167_N_D7,SRD129_P168_N_D0,SRD129_P168_N_D1,SRD129_P168_N_D10,SRD129_P168_N_D14,SRD129_P168_N_D21,SRD129_P168_N_D28,SRD129_P168_N_D3,SRD129_P168_N_D36,SRD129_P168_N_D42,SRD129_P168_N_D7,SRD129_P169_N_D0,SRD129_P169_N_D1,SRD129_P169_N_D10,SRD129_P169_N_D14,SRD129_P169_N_D21,SRD129_P169_N_D28,SRD129_P169_N_D3,SRD129_P169_N_D36,SRD129_P169_N_D42,SRD129_P169_N_D7,SRD129_P170_N_D0,SRD129_P170_N_D1,SRD129_P170_N_D10,SRD129_P170_N_D14,SRD129_P170_N_D21,SRD129_P170_N_D28,SRD129_P170_N_D3,SRD129_P170_N_D36,SRD129_P170_N_D42,SRD129_P170_N_D7,SRD129_P171_N_D0,SRD129_P171_N_D1,SRD129_P171_N_D10,SRD129_P171_N_D14,SRD129_P171_N_D21,SRD129_P171_N_D28,SRD129_P171_N_D3,SRD129_P171_N_D36,SRD129_P171_N_D42,SRD129_P171_N_D7,Taxonomy
Otu0001,805,603,732,440,256,291,348,255,214,589,673,309,754,550,408,728,386,36,795,554,884,1141,601,515,614,594,647,713,650,783,918,677,512,923,521,436,970,571,426,479,1039,641,777,322,510,113,179,1153,680,571,694,651,576,862,471,28,972,809,793,470,946,826,579,570,387,10,1132,886,723,1020,723,339,415,361,17,1041,688,183,817,1134,571,373,728,93,94,365,859,551,749,1280,609,443,1,409,246,931,692,429,728,635,815,595,530,288,306,504,292,460,556,843,661,504,444,303,235,359,825,417,714,1146,803,390,732,633,476,1056,777,602,941,983,677,305,564,310,181,822,763,739,1000,630,659,359,899,424,161,711,535,381,774,633,717,351,503,426,232,681,559,613,516,516,526,324,619,123,200,523,782,400,1113,791,643,194,738,403,325,777,794,573,882,520,540,487,635,381,105,501,935,521,831,468,517,354,482,242,155,578,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;
Otu0002,286,187,125,287,234,351,154,222,190,226,640,80,13,31,30,357,62,175,240,430,165,62,141,7,119,2,0,68,199,41,9,183,81,40,1,21,26,484,473,287,139,339,19,332,10,419,503,249,515,252,59,167,15,106,2,2,177,600,570,460,39,173,200,28,289,14,316,475,374,130,92,14,520,11,1,167,626,365,355,57,115,28,546,3,9,363,382,481,165,24,37,42,711,20,20,116,373,698,409,77,36,150,566,10,1,615,319,725,421,184,262,93,320,123,369,924,187,559,154,18,2,74,98,1,1,390,158,574,334,61,102,90,143,3,7,462,235,437,109,209,226,5,181,2,5,270,193,345,141,111,32,24,229,1,4,380,470,870,423,65,27,18,412,8,0,447,401,820,126,68,63,13,289,0,4,251,494,571,195,175,49,10,389,1,1,434,293,615,93,93,18,5,217,3,2,290,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;
Otu0003,373,324,229,77,92,107,147,122,525,304,334,149,60,60,102,296,102,19,323,389,251,25,56,117,268,71,156,279,155,289,129,188,80,99,66,175,117,105,125,382,19,56,49,134,122,40,278,284,307,144,7,79,75,200,55,7,109,174,315,459,276,174,178,23,22,953,376,227,349,95,158,285,45,80,18,570,162,52,351,31,195,52,30,37,63,441,315,309,413,91,44,138,2,34,10,194,136,71,160,229,189,255,96,227,259,132,150,44,47,27,131,197,103,126,284,91,273,268,326,62,72,71,312,189,344,170,261,334,188,125,84,71,375,32,45,250,270,277,122,47,70,60,157,61,72,94,309,278,231,105,71,125,244,56,120,145,59,12,155,5,156,183,98,84,295,54,48,58,91,57,39,7,63,40,173,41,195,307,209,69,258,168,107,57,87,198,21,112,138,63,162,151,42,103,80,151,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
Otu0004,187,304,291,79,207,122,272,112,218,14,9,118,292,231,268,86,274,9,225,130,182,84,245,297,112,203,392,425,401,215,150,374,136,242,304,194,63,333,256,164,45,136,235,169,283,47,52,5,148,340,131,152,203,117,147,4,156,0,0,0,0,113,54,33,13,1,0,0,1,1,103,174,1,175,16,0,2,1,1,18,216,74,2,17,12,0,117,173,60,6,68,165,0,60,7,3,27,12,34,91,87,118,11,35,90,88,28,33,26,92,153,262,24,228,165,38,286,324,303,201,183,124,119,427,191,78,351,209,104,245,194,254,373,544,113,101,281,177,282,357,380,278,215,406,155,344,321,339,235,370,277,223,303,372,259,270,1,1,57,71,42,35,14,10,28,124,385,319,248,499,357,184,154,179,212,447,117,141,176,213,307,107,33,214,6,155,329,265,244,200,353,294,207,154,28,244,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Weeksellaceae_unclassified;
Otu0005,0,0,0,33,218,0,236,158,1,0,3,108,353,144,212,5,487,36,8,25,111,68,124,124,103,214,330,86,47,149,122,151,241,76,227,416,162,135,137,39,38,69,146,59,207,22,21,2,1,91,202,85,266,8,225,14,10,4,1,1,1,0,4,54,0,0,0,0,0,3,173,245,0,147,2,0,0,0,3,28,57,171,0,82,9,1,0,0,0,0,6,64,0,131,41,2,2,0,3,0,0,32,1,1,136,2,0,9,11,41,111,97,6,448,295,15,7,0,20,26,69,117,29,344,406,6,0,0,1,0,63,312,0,532,733,0,37,30,30,76,66,221,96,297,296,112,63,174,71,137,137,134,168,500,794,134,106,70,88,130,71,68,106,7,6,105,39,15,83,200,152,169,54,465,326,117,12,8,53,64,104,144,15,421,117,12,118,157,192,166,148,189,204,281,164,140,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;
Otu0006,11,160,177,70,62,23,96,99,204,24,24,35,64,109,147,40,134,18,137,112,120,41,41,68,59,81,209,232,323,77,44,111,64,164,129,67,25,107,196,113,19,49,94,97,101,54,39,20,36,216,48,55,85,58,131,1,133,0,0,10,15,69,42,39,3,1,0,0,0,4,27,87,0,90,30,0,7,8,17,2,70,45,37,9,39,1,91,134,42,29,33,64,0,34,7,22,46,31,51,69,66,117,43,38,143,90,29,29,61,41,63,87,24,107,73,70,83,121,59,51,32,54,93,135,67,50,82,108,116,115,91,95,182,197,30,93,90,125,32,84,109,91,102,153,93,92,223,233,121,116,131,102,157,187,59,103,12,15,36,15,25,19,23,9,11,71,132,136,117,130,62,22,63,45,139,74,46,64,125,70,133,79,28,52,4,96,21,16,73,46,120,116,56,70,32,61,Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;Neisseriaceae_unclassified;
Otu0007,99,10,38,47,59,11,102,100,15,11,29,25,142,35,52,43,77,4,31,32,75,62,99,112,22,123,174,119,127,88,57,93,127,78,108,81,58,124,88,30,41,55,110,34,120,11,14,50,82,115,105,72,125,47,132,3,70,1,19,0,9,43,24,34,4,0,17,99,12,62,73,98,3,50,0,48,78,7,47,11,79,42,54,12,1,2,99,59,18,36,76,92,0,46,31,36,25,8,23,25,79,82,12,12,18,31,7,13,30,53,41,94,20,85,49,14,60,59,61,69,41,36,29,79,55,44,42,20,73,113,144,65,77,139,80,49,96,90,138,163,161,102,115,199,52,119,73,72,95,126,119,95,90,212,85,158,24,9,40,22,27,13,42,2,2,52,53,56,124,102,138,41,80,96,53,152,48,60,118,72,93,47,31,95,2,63,176,137,157,75,110,89,99,89,20,85,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacteriaceae_unclassified;
Otu0008,21,16,4,29,24,34,50,100,17,6,30,7,2,8,17,22,33,44,8,9,9,3,16,24,9,19,10,3,1,6,12,30,13,4,1,43,10,32,24,31,65,121,24,27,80,282,61,22,76,19,16,30,19,18,21,12,49,110,71,38,9,56,56,68,140,14,38,55,52,51,36,27,56,44,10,31,162,30,25,16,66,29,34,32,96,115,22,37,22,11,5,20,265,96,93,40,67,59,61,73,24,13,65,9,8,44,24,159,34,26,11,24,44,6,14,62,12,77,6,5,7,16,13,3,19,7,6,5,3,3,0,21,1,6,11,3,13,11,14,43,32,8,2,15,19,11,2,4,7,5,1,2,5,1,4,2,33,45,82,69,70,12,31,12,2,60,11,18,1,3,27,3,9,7,6,8,11,30,4,10,5,9,8,25,60,8,16,71,3,5,1,3,11,5,0,10,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
Otu0009,11,5,13,14,48,65,16,9,16,105,5,60,13,24,84,13,37,29,9,16,12,12,15,67,48,23,1,2,5,22,32,4,60,15,76,5,22,3,9,21,18,12,44,42,45,40,27,12,2,10,10,22,50,56,30,112,12,6,2,8,15,14,118,150,19,10,12,9,20,19,14,62,35,81,80,1,8,85,10,27,61,152,38,160,25,15,8,9,13,16,61,78,12,83,20,19,16,19,29,17,59,42,53,23,14,14,108,19,35,18,31,45,43,14,7,29,24,6,19,17,72,43,71,2,9,7,23,5,19,11,18,105,21,8,17,5,11,6,14,38,39,74,27,8,40,8,14,7,8,15,35,120,16,5,13,6,29,8,25,88,62,99,36,45,36,5,10,7,6,6,29,42,45,36,33,8,18,7,5,28,32,32,56,17,46,11,5,5,10,38,45,27,35,44,45,13,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;
Otu0010,0,1,24,70,67,10,12,15,7,0,2,0,27,42,59,4,14,10,0,0,6,39,46,57,10,22,2,0,1,2,51,12,64,4,9,15,7,0,0,8,53,47,46,20,10,24,5,0,0,5,45,40,50,9,26,5,6,1,0,5,57,34,67,29,10,0,0,0,14,42,38,74,21,28,23,3,0,1,3,45,25,88,8,35,27,7,0,1,6,45,33,73,8,21,17,10,1,3,31,99,46,26,9,135,40,16,2,5,54,92,75,42,30,44,7,24,0,0,16,54,80,51,15,18,12,9,1,0,10,34,53,65,7,17,36,10,1,0,9,31,33,62,6,36,9,6,0,0,9,48,52,73,7,22,14,7,2,0,26,98,132,110,12,213,24,7,0,1,4,21,34,100,14,48,5,3,0,0,13,116,52,87,19,26,12,21,1,0,8,115,70,77,33,71,18,11,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
