"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp"
"Otu0011",29.5699460770466,-2.07557605555056,0.596927438585311,-3.47709942848258,0.000506869813291433,0.00536685684661517,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","5.0e-03","Control","Otu0011","D1_BBvsControl"
"Otu0021",54.0350298097258,0.733039329372576,0.228597358171334,3.20668329344017,0.00134274733461911,0.0109861145559746,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium","1.1e-02","BB","Otu0021","D1_BBvsControl"
"Otu0022",49.3555711839622,-0.691086151006772,0.20969971002807,-3.29559898253681,0.00098212098459734,0.00883908886137606,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Terrisporobacter","9.0e-03","Control","Otu0022","D1_BBvsControl"
"Otu0031",116.60406215898,0.694558684548026,0.150842995657682,4.60451399496358,4.13430216097257e-06,8.26860432194513e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","0.0e+00","BB","Otu0031","D1_BBvsControl"
"Otu0032",24.8031832590727,8.44019759120847,0.895517300605937,9.42494085317787,4.30348043625509e-21,1.93656619631479e-19,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Bordetella","0.0e+00","BB","Otu0032","D1_BBvsControl"
"Otu0034",102.395530147652,-2.25596684710363,0.299689252250588,-7.52768686284848,5.16470671005507e-14,1.54941201301652e-12,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","0.0e+00","Control","Otu0034","D1_BBvsControl"
"Otu0037",61.1348601560546,2.77622156161176,0.637533382111212,4.35462932531974,1.3329227122975e-05,0.000199938406844625,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","0.0e+00","BB","Otu0037","D1_BBvsControl"
"Otu0061",2.58128373432827,-3.37231568525176,0.745463213167584,-4.52378551440826,6.07432826054291e-06,9.9398098808884e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio","0.0e+00","Control","Otu0061","D1_BBvsControl"
"Otu0076",20.589596955106,0.668814739386617,0.247786822850266,2.69915377941938,0.00695160458660791,0.0463440305773861,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","4.6e-02","BB","Otu0076","D1_BBvsControl"
"Otu0118",3.72751956948902,-1.74374455590079,0.617407226671092,-2.82430214706529,0.00473836929456102,0.0341162589208393,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","uncultured","3.4e-02","Control","Otu0118","D1_BBvsControl"
"Otu0131",8.14591871716502,1.98425167603718,0.391277025621823,5.07121948415903,3.95274576671774e-07,1.01642034001313e-05,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","0.0e+00","BB","Otu0131","D1_BBvsControl"
"Otu0156",1.48937806319102,-2.97341185634984,0.888698972624239,-3.34580318864289,0.00082044607960857,0.00777264706997593,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","8.0e-03","Control","Otu0156","D1_BBvsControl"
"Otu0157",7.00206978545428,0.973788334157905,0.349279167914339,2.7879943140403,0.00530354746423713,0.0367168670601032,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified","3.7e-02","BB","Otu0157","D1_BBvsControl"
"Otu0009",687.489464012496,-0.819399357732947,0.262236932820219,-3.12465276694911,0.00178015059308055,0.0113484600308885,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9","1.1e-02","Control","Otu0009","D3_BBvsControl"
