Sample,Pig,Tissue,Day,Treatment
SRD129_P132_N_D0,132,N,D0,BB
SRD129_P133_N_D0,133,N,D0,BB
SRD129_P134_N_D0,134,N,D0,BB
SRD129_P135_N_D0,135,N,D0,BB
SRD129_P136_N_D0,136,N,D0,BB
SRD129_P137_N_D0,137,N,D0,BB
SRD129_P138_N_D0,138,N,D0,BB
SRD129_P139_N_D0,139,N,D0,BB
SRD129_P140_N_D0,140,N,D0,BB
SRD129_P141_N_D0,141,N,D0,BB
SRD129_P162_N_D0,162,N,D0,Control
SRD129_P163_N_D0,163,N,D0,Control
SRD129_P164_N_D0,164,N,D0,Control
SRD129_P165_N_D0,165,N,D0,Control
SRD129_P166_N_D0,166,N,D0,Control
SRD129_P167_N_D0,167,N,D0,Control
SRD129_P168_N_D0,168,N,D0,Control
SRD129_P169_N_D0,169,N,D0,Control
SRD129_P170_N_D0,170,N,D0,Control
SRD129_P171_N_D0,171,N,D0,Control
SRD129_P133_N_D1,133,N,D1,BB
SRD129_P134_N_D1,134,N,D1,BB
SRD129_P135_N_D1,135,N,D1,BB
SRD129_P136_N_D1,136,N,D1,BB
SRD129_P137_N_D1,137,N,D1,BB
SRD129_P138_N_D1,138,N,D1,BB
SRD129_P139_N_D1,139,N,D1,BB
SRD129_P140_N_D1,140,N,D1,BB
SRD129_P141_N_D1,141,N,D1,BB
SRD129_P162_N_D1,162,N,D1,Control
SRD129_P163_N_D1,163,N,D1,Control
SRD129_P164_N_D1,164,N,D1,Control
SRD129_P165_N_D1,165,N,D1,Control
SRD129_P166_N_D1,166,N,D1,Control
SRD129_P167_N_D1,167,N,D1,Control
SRD129_P168_N_D1,168,N,D1,Control
SRD129_P169_N_D1,169,N,D1,Control
SRD129_P170_N_D1,170,N,D1,Control
SRD129_P171_N_D1,171,N,D1,Control
SRD129_P132_N_D10,132,N,D10,BB
SRD129_P133_N_D10,133,N,D10,BB
SRD129_P134_N_D10,134,N,D10,BB
SRD129_P135_N_D10,135,N,D10,BB
SRD129_P136_N_D10,136,N,D10,BB
SRD129_P137_N_D10,137,N,D10,BB
SRD129_P138_N_D10,138,N,D10,BB
SRD129_P139_N_D10,139,N,D10,BB
SRD129_P140_N_D10,140,N,D10,BB
SRD129_P141_N_D10,141,N,D10,BB
SRD129_P162_N_D10,162,N,D10,Control
SRD129_P163_N_D10,163,N,D10,Control
SRD129_P164_N_D10,164,N,D10,Control
SRD129_P165_N_D10,165,N,D10,Control
SRD129_P166_N_D10,166,N,D10,Control
SRD129_P167_N_D10,167,N,D10,Control
SRD129_P168_N_D10,168,N,D10,Control
SRD129_P169_N_D10,169,N,D10,Control
SRD129_P170_N_D10,170,N,D10,Control
SRD129_P171_N_D10,171,N,D10,Control
SRD129_P132_N_D14,132,N,D14,BB
SRD129_P133_N_D14,133,N,D14,BB
SRD129_P134_N_D14,134,N,D14,BB
SRD129_P135_N_D14,135,N,D14,BB
SRD129_P136_N_D14,136,N,D14,BB
SRD129_P137_N_D14,137,N,D14,BB
SRD129_P138_N_D14,138,N,D14,BB
SRD129_P139_N_D14,139,N,D14,BB
SRD129_P140_N_D14,140,N,D14,BB
SRD129_P141_N_D14,141,N,D14,BB
SRD129_P162_N_D14,162,N,D14,Control
SRD129_P163_N_D14,163,N,D14,Control
SRD129_P164_N_D14,164,N,D14,Control
SRD129_P165_N_D14,165,N,D14,Control
SRD129_P166_N_D14,166,N,D14,Control
SRD129_P167_N_D14,167,N,D14,Control
SRD129_P168_N_D14,168,N,D14,Control
SRD129_P169_N_D14,169,N,D14,Control
SRD129_P170_N_D14,170,N,D14,Control
SRD129_P171_N_D14,171,N,D14,Control
SRD129_P132_N_D21,132,N,D21,BB
SRD129_P133_N_D21,133,N,D21,BB
