"","group","Pig","Tissue","Day","Treatment","Genus","value","All","value2"
"1","SRD129_P132_N_D0",132,"N","D0","BB","Moraxella",0.4045,"D0_BB",4.045
"2","SRD129_P132_N_D10",132,"N","D10","BB","Moraxella",0.305152576288144,"D10_BB",3.05152576288144
"3","SRD129_P132_N_D14",132,"N","D14","BB","Moraxella",0.36768384192096,"D14_BB",3.6768384192096
"4","SRD129_P132_N_D21",132,"N","D21","BB","Moraxella",0.245368052078117,"D21_BB",2.45368052078117
"5","SRD129_P132_N_D28",132,"N","D28","BB","Moraxella",0.244366549824737,"D28_BB",2.44366549824737
"6","SRD129_P132_N_D3",132,"N","D3","BB","Moraxella",0.153076538269135,"D3_BB",1.70085042521261
"7","SRD129_P132_N_D36",132,"N","D36","BB","Moraxella",0.292292292292292,"D36_BB",2.92292292292292
"8","SRD129_P132_N_D42",132,"N","D42","BB","Moraxella",0.215755143000502,"D42_BB",2.15755143000502
"9","SRD129_P132_N_D7",132,"N","D7","BB","Moraxella",0.123123123123123,"D7_BB",1.53903903903904
"10","SRD129_P133_N_D0",133,"N","D0","BB","Moraxella",0.297797797797798,"D0_BB",2.97797797797798
"11","SRD129_P133_N_D1",133,"N","D1","BB","Moraxella",0.371371371371371,"D1_BB",4.12634857079302
"12","SRD129_P133_N_D10",133,"N","D10","BB","Moraxella",0.225175526579739,"D10_BB",2.25175526579739
"13","SRD129_P133_N_D14",133,"N","D14","BB","Moraxella",0.558279139569785,"D14_BB",5.58279139569785
"14","SRD129_P133_N_D21",133,"N","D21","BB","Moraxella",0.34937343358396,"D21_BB",3.4937343358396
"15","SRD129_P133_N_D28",133,"N","D28","BB","Moraxella",0.316316316316316,"D28_BB",3.16316316316316
"16","SRD129_P133_N_D3",133,"N","D3","BB","Moraxella",0.388388388388388,"D3_BB",4.31542653764876
"17","SRD129_P133_N_D36",133,"N","D36","BB","Moraxella",0.438219109554777,"D36_BB",4.38219109554777
"18","SRD129_P133_N_D42",133,"N","D42","BB","Moraxella",0.0911379657603223,"D42_BB",0.911379657603223
"19","SRD129_P134_N_D0",134,"N","D0","BB","Moraxella",0.404606910365548,"D0_BB",4.04606910365548
"20","SRD129_P134_N_D1",134,"N","D1","BB","Moraxella",0.299149574787394,"D1_BB",3.32388416430437
"21","SRD129_P134_N_D10",134,"N","D10","BB","Moraxella",0.500250375563345,"D10_BB",5.00250375563345
"22","SRD129_P134_N_D14",134,"N","D14","BB","Moraxella",0.606910365548322,"D14_BB",6.06910365548322
"23","SRD129_P134_N_D21",134,"N","D21","BB","Moraxella",0.366783743100853,"D21_BB",3.66783743100853
"24","SRD129_P134_N_D28",134,"N","D28","BB","Moraxella",0.321660830415208,"D28_BB",3.21660830415208
"25","SRD129_P134_N_D3",134,"N","D3","BB","Moraxella",0.368184092046023,"D3_BB",4.09093435606692
"26","SRD129_P134_N_D36",134,"N","D36","BB","Moraxella",0.4072036018009,"D36_BB",4.072036018009
"27","SRD129_P134_N_D42",134,"N","D42","BB","Moraxella",0.488744372186093,"D42_BB",4.88744372186093
"28","SRD129_P135_N_D0",135,"N","D0","BB","Moraxella",0.401302605210421,"D0_BB",4.01302605210421
"29","SRD129_P135_N_D1",135,"N","D1","BB","Moraxella",0.349,"D1_BB",3.87777777777778
"30","SRD129_P135_N_D10",135,"N","D10","BB","Moraxella",0.468202303455183,"D10_BB",4.68202303455183
"31","SRD129_P135_N_D14",135,"N","D14","BB","Moraxella",0.523261630815408,"D14_BB",5.23261630815408
"32","SRD129_P135_N_D21",135,"N","D21","BB","Moraxella",0.415207603801901,"D21_BB",4.15207603801901
"33","SRD129_P135_N_D28",135,"N","D28","BB","Moraxella",0.382691345672836,"D28_BB",3.82691345672836
"34","SRD129_P135_N_D3",135,"N","D3","BB","Moraxella",0.505505505505506,"D3_BB",5.61672783895006
"35","SRD129_P135_N_D36",135,"N","D36","BB","Moraxella",0.374937343358396,"D36_BB",3.74937343358396
"36","SRD129_P135_N_D42",135,"N","D42","BB","Moraxella",0.436372745490982,"D42_BB",4.36372745490982
"37","SRD129_P135_N_D7",135,"N","D7","BB","Moraxella",0.5785,"D7_BB",7.23125
"38","SRD129_P136_N_D0",136,"N","D0","BB","Moraxella",0.3605,"D0_BB",3.605
"39","SRD129_P136_N_D1",136,"N","D1","BB","Moraxella",0.297148574287144,"D1_BB",3.30165082541271
"40","SRD129_P136_N_D10",136,"N","D10","BB","Moraxella",0.263131565782891,"D10_BB",2.63131565782891
"41","SRD129_P136_N_D14",136,"N","D14","BB","Moraxella",0.540770385192596,"D14_BB",5.40770385192596
"42","SRD129_P136_N_D21",136,"N","D21","BB","Moraxella",0.356534802203305,"D21_BB",3.56534802203305
"43","SRD129_P136_N_D28",136,"N","D28","BB","Moraxella",0.465698547821733,"D28_BB",4.65698547821733
"44","SRD129_P136_N_D3",136,"N","D3","BB","Moraxella",0.212531328320802,"D3_BB",2.36145920356447
"45","SRD129_P136_N_D36",136,"N","D36","BB","Moraxella",0.362043064596895,"D36_BB",3.62043064596895
"46","SRD129_P136_N_D42",136,"N","D42","BB","Moraxella",0.0691382765531062,"D42_BB",0.691382765531062
"47","SRD129_P136_N_D7",136,"N","D7","BB","Moraxella",0.185778668002003,"D7_BB",2.32223335002504
"48","SRD129_P137_N_D0",137,"N","D0","BB","Moraxella",0.579789894947474,"D0_BB",5.79789894947474
"49","SRD129_P137_N_D1",137,"N","D1","BB","Moraxella",0.342671335667834,"D1_BB",3.80745928519815
"50","SRD129_P137_N_D10",137,"N","D10","BB","Moraxella",0.3345,"D10_BB",3.345
"51","SRD129_P137_N_D14",137,"N","D14","BB","Moraxella",0.449724862431216,"D14_BB",4.49724862431216
"52","SRD129_P137_N_D21",137,"N","D21","BB","Moraxella",0.372058087130696,"D21_BB",3.72058087130696
"53","SRD129_P137_N_D28",137,"N","D28","BB","Moraxella",0.425712856428214,"D28_BB",4.25712856428214
"54","SRD129_P137_N_D3",137,"N","D3","BB","Moraxella",0.452726363181591,"D3_BB",5.0302929242399
"55","SRD129_P137_N_D36",137,"N","D36","BB","Moraxella",0.34984984984985,"D36_BB",3.4984984984985
"56","SRD129_P137_N_D42",137,"N","D42","BB","Moraxella",0.0236775818639798,"D42_BB",0.236775818639798
"57","SRD129_P137_N_D7",137,"N","D7","BB","Moraxella",0.508254127063532,"D7_BB",6.35317658829415
"58","SRD129_P138_N_D0",138,"N","D0","BB","Moraxella",0.410910910910911,"D0_BB",4.10910910910911
"59","SRD129_P138_N_D1",138,"N","D1","BB","Moraxella",0.400900900900901,"D1_BB",4.45445445445445
"60","SRD129_P138_N_D10",138,"N","D10","BB","Moraxella",0.249,"D10_BB",2.49
"61","SRD129_P138_N_D14",138,"N","D14","BB","Moraxella",0.48,"D14_BB",4.8
"62","SRD129_P138_N_D21",138,"N","D21","BB","Moraxella",0.417753259779338,"D21_BB",4.17753259779338
"63","SRD129_P138_N_D28",138,"N","D28","BB","Moraxella",0.2945,"D28_BB",2.945
"64","SRD129_P138_N_D36",138,"N","D36","BB","Moraxella",0.31215607803902,"D36_BB",3.1215607803902
"65","SRD129_P138_N_D42",138,"N","D42","BB","Moraxella",0.194694694694695,"D42_BB",1.94694694694695
"66","SRD129_P138_N_D7",138,"N","D7","BB","Moraxella",0.00856854838709677,"D7_BB",0.10710685483871
"67","SRD129_P139_N_D0",139,"N","D0","BB","Moraxella",0.568784392196098,"D0_BB",5.68784392196098
"68","SRD129_P139_N_D1",139,"N","D1","BB","Moraxella",0.447447447447447,"D1_BB",4.97163830497164
"69","SRD129_P139_N_D10",139,"N","D10","BB","Moraxella",0.366366366366366,"D10_BB",3.66366366366366
"70","SRD129_P139_N_D14",139,"N","D14","BB","Moraxella",0.518518518518518,"D14_BB",5.18518518518519
"71","SRD129_P139_N_D21",139,"N","D21","BB","Moraxella",0.451677516274412,"D21_BB",4.51677516274412
"72","SRD129_P139_N_D28",139,"N","D28","BB","Moraxella",0.298798798798799,"D28_BB",2.98798798798799
"73","SRD129_P139_N_D3",139,"N","D3","BB","Moraxella",0.2355,"D3_BB",2.61666666666667
"74","SRD129_P139_N_D36",139,"N","D36","BB","Moraxella",0.25751503006012,"D36_BB",2.5751503006012
"75","SRD129_P139_N_D42",139,"N","D42","BB","Moraxella",0.00956215400100654,"D42_BB",0.0956215400100654
"76","SRD129_P139_N_D7",139,"N","D7","BB","Moraxella",0.5245,"D7_BB",6.55625
"77","SRD129_P140_N_D0",140,"N","D0","BB","Moraxella",0.347173586793397,"D0_BB",3.47173586793397
"78","SRD129_P140_N_D1",140,"N","D1","BB","Moraxella",0.243486973947896,"D1_BB",2.70541082164329
"79","SRD129_P140_N_D10",140,"N","D10","BB","Moraxella",0.414207103551776,"D10_BB",4.14207103551776
"80","SRD129_P140_N_D14",140,"N","D14","BB","Moraxella",0.586586586586587,"D14_BB",5.86586586586587
"81","SRD129_P140_N_D21",140,"N","D21","BB","Moraxella",0.314944834503511,"D21_BB",3.1494483450351
"82","SRD129_P140_N_D28",140,"N","D28","BB","Moraxella",0.282064128256513,"D28_BB",2.82064128256513
"83","SRD129_P140_N_D3",140,"N","D3","BB","Moraxella",0.371371371371371,"D3_BB",4.12634857079302
"84","SRD129_P140_N_D36",140,"N","D36","BB","Moraxella",0.0917753259779338,"D36_BB",0.917753259779338
"85","SRD129_P140_N_D42",140,"N","D42","BB","Moraxella",0.0560606060606061,"D42_BB",0.560606060606061
"86","SRD129_P140_N_D7",140,"N","D7","BB","Moraxella",0.2145,"D7_BB",2.68125
"87","SRD129_P141_N_D0",141,"N","D0","BB","Moraxella",0.432216108054027,"D0_BB",4.32216108054027
"88","SRD129_P141_N_D1",141,"N","D1","BB","Moraxella",0.2875,"D1_BB",3.19444444444444
"89","SRD129_P141_N_D10",141,"N","D10","BB","Moraxella",0.3755,"D10_BB",3.755
"90","SRD129_P141_N_D14",141,"N","D14","BB","Moraxella",0.6435,"D14_BB",6.435
"91","SRD129_P141_N_D21",141,"N","D21","BB","Moraxella",0.308425275827482,"D21_BB",3.08425275827482
"92","SRD129_P141_N_D28",141,"N","D28","BB","Moraxella",0.256628314157079,"D28_BB",2.56628314157079
"93","SRD129_P141_N_D3",141,"N","D3","BB","Moraxella",0.100050025012506,"D3_BB",1.1116669445834
"94","SRD129_P141_N_D36",141,"N","D36","BB","Moraxella",0.271815446339017,"D36_BB",2.71815446339017
"95","SRD129_P141_N_D42",141,"N","D42","BB","Moraxella",0.147532729103726,"D42_BB",1.47532729103726
"96","SRD129_P141_N_D7",141,"N","D7","BB","Moraxella",0.475450901803607,"D7_BB",5.94313627254509
"97","SRD129_P162_N_D0",162,"N","D0","Control","Moraxella",0.3545,"D0_Control",3.545
"98","SRD129_P162_N_D1",162,"N","D1","Control","Moraxella",0.2205,"D1_Control",2.205
"99","SRD129_P162_N_D10",162,"N","D10","Control","Moraxella",0.372686343171586,"D10_Control",3.72686343171586
"100","SRD129_P162_N_D14",162,"N","D14","Control","Moraxella",0.32982982982983,"D14_Control",3.2982982982983
"101","SRD129_P162_N_D21",162,"N","D21","Control","Moraxella",0.410526315789474,"D21_Control",4.10526315789474
"102","SRD129_P162_N_D28",162,"N","D28","Control","Moraxella",0.316316316316316,"D28_Control",7.90790790790791
"103","SRD129_P162_N_D3",162,"N","D3","Control","Moraxella",0.28042063094642,"D3_Control",2.8042063094642
"104","SRD129_P162_N_D36",162,"N","D36","Control","Moraxella",0.155622489959839,"D36_Control",1.55622489959839
"105","SRD129_P162_N_D42",162,"N","D42","Control","Moraxella",0.222333500250376,"D42_Control",2.22333500250376
"106","SRD129_P162_N_D7",162,"N","D7","Control","Moraxella",0.264132066033017,"D7_Control",2.64132066033017
"107","SRD129_P163_N_D0",163,"N","D0","Control","Moraxella",0.150905432595573,"D0_Control",1.50905432595573
"108","SRD129_P163_N_D1",163,"N","D1","Control","Moraxella",0.240480961923848,"D1_Control",2.40480961923848
"109","SRD129_P163_N_D10",163,"N","D10","Control","Moraxella",0.306960440660991,"D10_Control",3.06960440660992
"110","SRD129_P163_N_D14",163,"N","D14","Control","Moraxella",0.447671507260891,"D14_Control",4.47671507260891
"111","SRD129_P163_N_D21",163,"N","D21","Control","Moraxella",0.388582874311467,"D21_Control",3.88582874311467
"112","SRD129_P163_N_D3",163,"N","D3","Control","Moraxella",0.242864296444667,"D3_Control",2.42864296444667
"113","SRD129_P163_N_D36",163,"N","D36","Control","Moraxella",0.379569354031047,"D36_Control",3.79569354031047
"114","SRD129_P163_N_D42",163,"N","D42","Control","Moraxella",0.266266266266266,"D42_Control",2.66266266266266
"115","SRD129_P163_N_D7",163,"N","D7","Control","Moraxella",0.208917835671343,"D7_Control",2.08917835671343
"116","SRD129_P164_N_D0",164,"N","D0","Control","Moraxella",0.416208104052026,"D0_Control",4.16208104052026
"117","SRD129_P164_N_D1",164,"N","D1","Control","Moraxella",0.210605302651326,"D1_Control",2.10605302651326
"118","SRD129_P164_N_D10",164,"N","D10","Control","Moraxella",0.37625250501002,"D10_Control",3.7625250501002
"119","SRD129_P164_N_D14",164,"N","D14","Control","Moraxella",0.592296148074037,"D14_Control",5.92296148074037
"120","SRD129_P164_N_D21",164,"N","D21","Control","Moraxella",0.43871935967984,"D21_Control",4.3871935967984
"121","SRD129_P164_N_D3",164,"N","D3","Control","Moraxella",0.387693846923462,"D3_Control",3.87693846923462
"122","SRD129_P164_N_D36",164,"N","D36","Control","Moraxella",0.489744872436218,"D36_Control",4.89744872436218
"123","SRD129_P164_N_D42",164,"N","D42","Control","Moraxella",0.443665498247371,"D42_Control",4.43665498247371
"124","SRD129_P164_N_D7",164,"N","D7","Control","Moraxella",0.534767383691846,"D7_Control",5.34767383691846
"125","SRD129_P165_N_D0",165,"N","D0","Control","Moraxella",0.39136979427998,"D0_Control",3.9136979427998
"126","SRD129_P165_N_D1",165,"N","D1","Control","Moraxella",0.3045,"D1_Control",3.045
"127","SRD129_P165_N_D10",165,"N","D10","Control","Moraxella",0.473684210526316,"D10_Control",4.73684210526316
"128","SRD129_P165_N_D14",165,"N","D14","Control","Moraxella",0.493746873436718,"D14_Control",4.93746873436718
"129","SRD129_P165_N_D21",165,"N","D21","Control","Moraxella",0.371185592796398,"D21_Control",3.71185592796398
"130","SRD129_P165_N_D3",165,"N","D3","Control","Moraxella",0.286143071535768,"D3_Control",2.86143071535768
"131","SRD129_P165_N_D36",165,"N","D36","Control","Moraxella",0.4215,"D36_Control",4.215
"132","SRD129_P165_N_D42",165,"N","D42","Control","Moraxella",0.462694041061592,"D42_Control",4.62694041061592
"133","SRD129_P165_N_D7",165,"N","D7","Control","Moraxella",0.4135,"D7_Control",4.135
"134","SRD129_P166_N_D0",166,"N","D0","Control","Moraxella",0.401302605210421,"D0_Control",4.01302605210421
"135","SRD129_P166_N_D1",166,"N","D1","Control","Moraxella",0.385,"D1_Control",3.85
"136","SRD129_P166_N_D10",166,"N","D10","Control","Moraxella",0.5185,"D10_Control",5.185
"137","SRD129_P166_N_D14",166,"N","D14","Control","Moraxella",0.353853853853854,"D14_Control",3.53853853853854
"138","SRD129_P166_N_D21",166,"N","D21","Control","Moraxella",0.364,"D21_Control",3.64
"139","SRD129_P166_N_D3",166,"N","D3","Control","Moraxella",0.5005,"D3_Control",5.005
"140","SRD129_P166_N_D36",166,"N","D36","Control","Moraxella",0.362862862862863,"D36_Control",3.62862862862863
"141","SRD129_P166_N_D42",166,"N","D42","Control","Moraxella",0.230150753768844,"D42_Control",2.30150753768844
"142","SRD129_P166_N_D7",166,"N","D7","Control","Moraxella",0.416916916916917,"D7_Control",4.16916916916917
"143","SRD129_P167_N_D0",167,"N","D0","Control","Moraxella",0.301,"D0_Control",3.01
"144","SRD129_P167_N_D1",167,"N","D1","Control","Moraxella",0.28064032016008,"D1_Control",2.8064032016008
"145","SRD129_P167_N_D10",167,"N","D10","Control","Moraxella",0.4305,"D10_Control",4.305
"146","SRD129_P167_N_D14",167,"N","D14","Control","Moraxella",0.386158475426279,"D14_Control",3.86158475426279
"147","SRD129_P167_N_D21",167,"N","D21","Control","Moraxella",0.429214607303652,"D21_Control",4.29214607303652
"148","SRD129_P167_N_D3",167,"N","D3","Control","Moraxella",0.340510766149224,"D3_Control",3.40510766149224
"149","SRD129_P167_N_D36",167,"N","D36","Control","Moraxella",0.464,"D36_Control",4.64
"150","SRD129_P167_N_D42",167,"N","D42","Control","Moraxella",0.514,"D42_Control",5.14
"151","SRD129_P167_N_D7",167,"N","D7","Control","Moraxella",0.410205102551276,"D7_Control",4.10205102551276
