"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp","Family_Genus"
"Otu0003",6529.48658129066,1.58668760345246,0.393477570988512,4.03247280262078,5.51930042237001e-05,0.000538788850755167,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","1.0e-03","BB","Otu0003","D0_BBvsControl","Streptococcaceae Streptococcus"
"Otu0013",287.51896569295,-0.901365718253807,0.296296597138803,-3.04210621032395,0.00234928984376007,0.0133779004991893,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","1.3e-02","Control","Otu0013","D0_BBvsControl","Lactobacillaceae Lactobacillus"
"Otu0016",113.328127063663,2.3980516238773,0.453079811152665,5.29277969322115,1.20471016862538e-07,2.24514167789276e-06,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Empedobacter","0.0e+00","BB","Otu0016","D0_BBvsControl","Weeksellaceae Empedobacter"
"Otu0020",190.854006786092,1.8075815463462,0.578420487003983,3.12503029709208,0.00177786747562592,0.0113894635157286,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","1.1e-02","BB","Otu0020","D0_BBvsControl","Micrococcaceae Rothia"
"Otu0025",25.4562571699364,6.48635348637074,0.653336337056407,9.92804642643155,3.14353815740141e-23,6.44425322267289e-21,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","0.0e+00","BB","Otu0025","D0_BBvsControl","Aerococcaceae Aerococcus"
"Otu0035",126.766539584291,2.63181620267045,0.767780714515727,3.42782275318083,0.000608442572049147,0.00402357184742178,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Bergeyella","4.0e-03","BB","Otu0035","D0_BBvsControl","Weeksellaceae Bergeyella"
"Otu0038",22.2298333300126,1.59653900983156,0.540986437866528,2.95116272438878,0.00316580083575657,0.0162247292832524,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","uncultured","1.6e-02","BB","Otu0038","D0_BBvsControl","Veillonellaceae uncultured"
"Otu0042",40.2394580481858,-1.16175311413123,0.302199931810633,-3.84431957734265,0.000120887386055361,0.000953150543898035,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter","1.0e-03","Control","Otu0042","D0_BBvsControl","Lachnospiraceae Agathobacter"
"Otu0046",45.8962053460979,1.0395255934695,0.37468574776437,2.77439320729977,0.005530478834618,0.0257670036612884,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonellaceae_unclassified","2.6e-02","BB","Otu0046","D0_BBvsControl","Veillonellaceae Veillonellaceae_unclassified"
"Otu0047",3.55729032704187,3.06283276680208,0.780672054023665,3.92332830542086,8.73340112515085e-05,0.000756051875688951,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1","1.0e-03","BB","Otu0047","D0_BBvsControl","Corynebacteriaceae Corynebacterium_1"
