,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,newp,Treatment,OTU,comp,Family_Genus
Otu00241,80.65657489,0.625412062,0.215274044,2.90519029,0.003670299,0.025692092,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,2.60E-02,BB,Otu0024,D1_nasal_BBvsControl,Acidaminococcaceae Phascolarctobacterium
Otu00244,114.5229407,-0.470181789,0.149395795,-3.147222383,0.001648295,0.006929569,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,7.00E-03,Control,Otu0024,D10_nasal_BBvsControl,Acidaminococcaceae Phascolarctobacterium
Otu00242,97.31873722,0.64480678,0.250113195,2.578059828,0.009935679,0.047194477,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,4.70E-02,BB,Otu0024,D3_nasal_BBvsControl,Acidaminococcaceae Phascolarctobacterium
Otu00243,36.85339356,0.475391816,0.156706642,3.033641776,0.002416211,0.011356194,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,1.10E-02,BB,Otu0024,D7_nasal_BBvsControl,Acidaminococcaceae Phascolarctobacterium
Otu0080,18.78963772,2.933215554,0.454486918,6.453905359,1.09E-10,3.43E-09,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,0.00E+00,BB,Otu0080,D1_nasal_BBvsControl,Burkholderiaceae Burkholderiaceae_unclassified
Otu00803,42.78335908,1.999337532,0.480506058,4.160899739,3.17E-05,0.000217671,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,0.00E+00,BB,Otu0080,D10_nasal_BBvsControl,Burkholderiaceae Burkholderiaceae_unclassified
Otu00804,45.99117743,3.538869497,0.441469926,8.016105493,1.09E-15,2.10E-14,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,0.00E+00,BB,Otu0080,D14_nasal_BBvsControl,Burkholderiaceae Burkholderiaceae_unclassified
Otu00805,12.20380848,1.571228597,0.493307964,3.185086624,0.001447107,0.013681737,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,1.40E-02,BB,Otu0080,D28_nasal_BBvsControl,Burkholderiaceae Burkholderiaceae_unclassified
Otu00801,142.701146,7.348587571,0.906076739,8.110336856,5.05E-16,3.12E-14,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,0.00E+00,BB,Otu0080,D3_nasal_BBvsControl,Burkholderiaceae Burkholderiaceae_unclassified
Otu00806,19.40939185,2.941734229,0.884854614,3.324539627,0.000885646,0.006825668,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,7.00E-03,BB,Otu0080,D42_nasal_BBvsControl,Burkholderiaceae Burkholderiaceae_unclassified
Otu00802,141.0888988,5.2913038,0.660577705,8.010115628,1.15E-15,5.39E-14,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,0.00E+00,BB,Otu0080,D7_nasal_BBvsControl,Burkholderiaceae Burkholderiaceae_unclassified
Otu00121,1468.108492,-1.583066628,0.583482595,-2.713134274,0.006665009,0.021793523,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacteriaceae_unclassified,2.20E-02,Control,Otu0012,D10_nasal_BBvsControl,Carnobacteriaceae Carnobacteriaceae_unclassified
Otu0012,987.2942054,-1.932333243,0.616106076,-3.13636453,0.001710564,0.008462792,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacteriaceae_unclassified,8.00E-03,Control,Otu0012,D7_nasal_BBvsControl,Carnobacteriaceae Carnobacteriaceae_unclassified
Otu00282,155.1768928,0.630152845,0.158955028,3.964346734,7.36E-05,0.000473782,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,0.00E+00,BB,Otu0028,D10_nasal_BBvsControl,Clostridiaceae_1 Clostridium_sensu_stricto_1
Otu00283,393.7785448,0.556002507,0.139863148,3.975332412,7.03E-05,0.00047654,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,0.00E+00,BB,Otu0028,D21_nasal_BBvsControl,Clostridiaceae_1 Clostridium_sensu_stricto_1
Otu0028,180.7412177,-0.731527251,0.179656008,-4.071821801,4.66E-05,0.000523717,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,1.00E-03,Control,Otu0028,D3_nasal_BBvsControl,Clostridiaceae_1 Clostridium_sensu_stricto_1
Otu00281,73.06556893,-0.544718834,0.191081509,-2.850714532,0.004362111,0.017774264,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,1.80E-02,Control,Otu0028,D7_nasal_BBvsControl,Clostridiaceae_1 Clostridium_sensu_stricto_1
Otu0032,121.1972025,2.6566709,0.739729131,3.591410407,0.000328893,0.003108041,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,3.00E-03,BB,Otu0032,D1_nasal_BBvsControl,Enterobacteriaceae Escherichia-Shigella
Otu00321,163.8188516,2.767593203,0.638896507,4.331833361,1.48E-05,0.000228279,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,0.00E+00,BB,Otu0032,D3_nasal_BBvsControl,Enterobacteriaceae Escherichia-Shigella
Otu00323,40.53852439,2.548033601,0.660796825,3.85600158,0.000115257,0.000545411,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,1.00E-03,BB,Otu0032,D36_nasal_BBvsControl,Enterobacteriaceae Escherichia-Shigella
Otu00322,128.438271,2.826757355,0.769072725,3.67553973,0.000237347,0.001487375,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,1.00E-03,BB,Otu0032,D7_nasal_BBvsControl,Enterobacteriaceae Escherichia-Shigella
Otu0051,127.3480924,0.59957359,0.147715402,4.058978147,4.93E-05,0.000716571,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,1.00E-03,BB,Otu0051,D1_nasal_BBvsControl,Lachnospiraceae Blautia
Otu00512,121.2791227,-0.937692851,0.145483136,-6.44537145,1.15E-10,1.36E-09,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.00E+00,Control,Otu0051,D14_nasal_BBvsControl,Lachnospiraceae Blautia
Otu00513,154.5622284,-0.955943048,0.123419822,-7.745457984,9.52E-15,2.41E-13,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.00E+00,Control,Otu0051,D21_nasal_BBvsControl,Lachnospiraceae Blautia
Otu00514,168.5817859,1.072586398,0.226817599,4.72884997,2.26E-06,3.71E-05,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.00E+00,BB,Otu0051,D28_nasal_BBvsControl,Lachnospiraceae Blautia
Otu00511,55.08952706,-0.82391287,0.167331971,-4.923822181,8.49E-07,1.14E-05,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.00E+00,Control,Otu0051,D7_nasal_BBvsControl,Lachnospiraceae Blautia
Otu00292,219.5456324,0.550936042,0.219394292,2.511168529,0.012033223,0.035269656,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,3.50E-02,BB,Otu0029,D10_nasal_BBvsControl,Leuconostocaceae Weissella
Otu00291,42.23244891,-0.940836961,0.224751115,-4.186128114,2.84E-05,0.000224818,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,0.00E+00,Control,Otu0029,D7_nasal_BBvsControl,Leuconostocaceae Weissella
Otu00632,130.6859386,2.939946396,0.427602465,6.875419661,6.18E-12,9.36E-11,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,0.00E+00,BB,Otu0063,D14_nasal_BBvsControl,Moraxellaceae Enhydrobacter
Otu00631,15.16393804,2.364063569,0.693972722,3.406565552,0.000657858,0.005803243,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,6.00E-03,BB,Otu0063,D3_nasal_BBvsControl,Moraxellaceae Enhydrobacter
Otu00633,105.5547544,3.101199351,0.717815923,4.320326773,1.56E-05,9.38E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,0.00E+00,BB,Otu0063,D36_nasal_BBvsControl,Moraxellaceae Enhydrobacter
Otu0002,14903.83693,-0.869462337,0.363628612,-2.391072394,0.01679924,0.046765452,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,4.70E-02,Control,Otu0002,D10_nasal_BBvsControl,Moraxellaceae Moraxella
Otu0017,21.94692809,3.770340177,0.916273398,4.114863737,3.87E-05,0.000503631,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurellaceae_unclassified,1.00E-03,BB,Otu0017,D3_nasal_BBvsControl,Pasteurellaceae Pasteurellaceae_unclassified
Otu00171,18.96823265,3.525375242,0.836268536,4.215601913,2.49E-05,0.000212878,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurellaceae_unclassified,0.00E+00,BB,Otu0017,D7_nasal_BBvsControl,Pasteurellaceae Pasteurellaceae_unclassified
Otu0035,49.9432332,-0.801739347,0.207512224,-3.863576466,0.000111739,0.001242274,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,1.00E-03,Control,Otu0035,D1_nasal_BBvsControl,Peptostreptococcaceae Terrisporobacter
Otu00353,103.3338775,1.338579589,0.176677586,7.576397301,3.55E-14,1.05E-12,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,0.00E+00,BB,Otu0035,D10_nasal_BBvsControl,Peptostreptococcaceae Terrisporobacter
Otu00351,98.27256628,-0.808410988,0.191221704,-4.227611054,2.36E-05,0.000343164,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,0.00E+00,Control,Otu0035,D3_nasal_BBvsControl,Peptostreptococcaceae Terrisporobacter
Otu00354,92.90523539,0.466721036,0.168857282,2.763997092,0.005709805,0.018680226,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,1.90E-02,BB,Otu0035,D36_nasal_BBvsControl,Peptostreptococcaceae Terrisporobacter
Otu00352,67.88594492,-0.908895438,0.188499643,-4.821735596,1.42E-06,1.78E-05,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,0.00E+00,Control,Otu0035,D7_nasal_BBvsControl,Peptostreptococcaceae Terrisporobacter
Otu00152,917.9270043,-1.238476194,0.213735321,-5.794438603,6.86E-09,9.53E-08,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,0.00E+00,Control,Otu0015,D21_nasal_BBvsControl,Prevotellaceae Prevotella_9
